name,number,Nationality,DOB,driver
Alexander Albon,23,Thai,23/03/1996,ALB
Fernando Alonso,14,Spanish,29/07/1981,ALO
Valtteri Bottas,77,Finnish,28/08/1989,BOT
Nyck de Vries,21,Dutch,06/02/1995,DEV
Pierre Gasly,10,French,07/02/1996,GAS
Lewis Hamilton,44,British,07/01/1985,HAM
Nico Hülkenberg,27,German,19/08/1987,HUL
Liam Lawson,15,New Zealander,11/02/2002,LAW
Charles Leclerc,16,Monegasque,16/10/1997,LEC
Kevin Magnussen,20,Danish,05/10/1992,MAG
Lando Norris,4,British,13/11/1999,NOR
Esteban Ocon,31,French,17/09/1996,OCO
Sergio Pérez,11,Mexican,26/01/1990,PER
Oscar Piastri,81,Australian,06/04/2001,PIA
Daniel Ricciardo,3,Australian,01/07/1989,RIC
George Russell,63,British,15/02/1998,RUS
Carlos Sainz,55,Spanish,01/09/1994,SAI
Logan Sargeant,2,American,31/12/2000,SAR
Lance Stroll,18,Canadian,29/10/1998,STR
Yuki Tsunoda,22,Japanese,11/05/2000,TSU
Max Verstappen,33,Dutch,30/09/1997,VER
Guanyu Zhou,24,Chinese,30/05/1999,ZHO
