round,type,position,driver,points
1,race,1,VER,25
1,race,2,PER,18
1,race,3,ALO,15
1,race,4,SAI,12
1,race,5,HAM,10
1,race,6,STR,8
1,race,7,RUS,6
1,race,8,BOT,4
1,race,9,GAS,2
1,race,10,ALB,1
1,race,11,TSU,0
1,race,12,SAR,0
1,race,13,MAG,0
1,race,14,DEV,0
1,race,15,HUL,0
1,race,16,ZHO,0
1,race,17,NOR,0
1,race,18,OCO,0
1,race,19,LEC,0
1,race,20,PIA,0
2,race,1,PER,25
2,race,2,VER,19
2,race,3,ALO,15
2,race,4,RUS,12
2,race,5,HAM,10
2,race,6,SAI,8
2,race,7,LEC,6
2,race,8,OCO,4
2,race,9,GAS,2
2,race,10,MAG,1
2,race,11,TSU,0
2,race,12,HUL,0
2,race,13,ZHO,0
2,race,14,DEV,0
2,race,15,PIA,0
2,race,16,SAR,0
2,race,17,NOR,0
2,race,18,BOT,0
2,race,19,ALB,0
2,race,20,STR,0
3,race,1,VER,25
3,race,2,HAM,18
3,race,3,ALO,15
3,race,4,STR,12
3,race,5,PER,11
3,race,6,NOR,8
3,race,7,HUL,6
3,race,8,PIA,4
3,race,9,ZHO,2
3,race,10,TSU,1
3,race,11,BOT,0
3,race,12,SAI,0
3,race,13,GAS,0
3,race,14,OCO,0
3,race,15,DEV,0
3,race,16,SAR,0
3,race,17,MAG,0
3,race,18,RUS,0
3,race,19,ALB,0
3,race,20,LEC,0
4,race,1,PER,25
4,race,2,VER,18
4,race,3,LEC,15
4,race,4,ALO,12
4,race,5,SAI,10
4,race,6,HAM,8
4,race,7,STR,6
4,race,8,RUS,5
4,race,9,NOR,2
4,race,10,TSU,1
4,race,11,PIA,0
4,race,12,ALB,0
4,race,13,MAG,0
4,race,14,GAS,0
4,race,15,OCO,0
4,race,16,SAR,0
4,race,17,HUL,0
4,race,18,BOT,0
4,race,19,ZHO,0
4,race,20,DEV,0
5,race,1,VER,26
5,race,2,PER,18
5,race,3,ALO,15
5,race,4,RUS,12
5,race,5,SAI,10
5,race,6,HAM,8
5,race,7,LEC,6
5,race,8,GAS,4
5,race,9,OCO,2
5,race,10,MAG,1
5,race,11,TSU,0
5,race,12,STR,0
5,race,13,BOT,0
5,race,14,ALB,0
5,race,15,HUL,0
5,race,16,ZHO,0
5,race,17,NOR,0
5,race,18,DEV,0
5,race,19,PIA,0
5,race,20,SAR,0
7,race,1,VER,25
7,race,2,ALO,18
7,race,3,OCO,15
7,race,4,HAM,13
7,race,5,RUS,10
7,race,6,LEC,8
7,race,7,GAS,6
7,race,8,SAI,4
7,race,9,NOR,2
7,race,10,PIA,1
7,race,11,BOT,0
7,race,12,DEV,0
7,race,13,ZHO,0
7,race,14,ALB,0
7,race,15,TSU,0
7,race,16,PER,0
7,race,17,HUL,0
7,race,18,SAR,0
7,race,19,MAG,0
7,race,20,STR,0
8,race,1,VER,26
8,race,2,HAM,18
8,race,3,RUS,15
8,race,4,PER,12
8,race,5,SAI,10
8,race,6,STR,8
8,race,7,ALO,6
8,race,8,OCO,4
8,race,9,ZHO,2
8,race,10,GAS,1
8,race,11,LEC,0
8,race,12,TSU,0
8,race,13,PIA,0
8,race,14,DEV,0
8,race,15,HUL,0
8,race,16,ALB,0
8,race,17,NOR,0
8,race,18,MAG,0
8,race,19,BOT,0
8,race,20,SAR,0
9,race,1,VER,25
9,race,2,ALO,18
9,race,3,HAM,15
9,race,4,LEC,12
9,race,5,SAI,10
9,race,6,PER,9
9,race,7,ALB,6
9,race,8,OCO,4
9,race,9,STR,2
9,race,10,BOT,1
9,race,11,PIA,0
9,race,12,GAS,0
9,race,13,NOR,0
9,race,14,TSU,0
9,race,15,HUL,0
9,race,16,ZHO,0
9,race,17,MAG,0
9,race,18,DEV,0
9,race,19,RUS,0
9,race,20,SAR,0
10,race,1,VER,26
10,race,2,LEC,18
10,race,3,PER,15
10,race,4,NOR,12
10,race,5,ALO,10
10,race,6,SAI,8
10,race,7,RUS,6
10,race,8,HAM,4
10,race,9,STR,2
10,race,10,GAS,1
10,race,11,ALB,0
10,race,12,ZHO,0
