player,driver,start_round,end_round,stake
Toby,PIA,14,14,60
Toby,PIA,15,16,40
Toby,PIA,17,17,20
Toby,NOR,14,14,30
Toby,NOR,15,16,40
Toby,NOR,17,17,10
Toby,BOT,14,14,10
Toby,ALB,15,16,18
Toby,TSU,17,17,66
Toby,PIA,18,23,35
Toby,NOR,18,23,35
Toby,TSU,18,23,26
Finn,LEC,14,14,40
Finn,PIA,14,14,40
Finn,LAW,14,14,20
Finn,LEC,15,15,50
Finn,PIA,15,15,49
Finn,LAW,15,15,1
Finn,LEC,16,23,48
Finn,PIA,16,23,49
Finn,LAW,16,18,1
Finn,RIC,19,23,1
Lisa,PER,14,16,34
Lisa,ALO,14,16,33
Lisa,NOR,14,16,33
Lisa,NOR,17,23,32
Lisa,PIA,17,23,32
Lisa,SAI,17,23,32
Mark,STR,14,17,30
Mark,HAM,14,17,35
Mark,SAI,14,17,35
Mark,STR,18,23,2
Mark,HAM,18,23,49
Mark,SAI,18,23,49
Zack,PER,14,23,97
Zack,HAM,14,23,2
Zack,LEC,14,23,1
James,LAW,14,18,98
James,RIC,19,23,98
James,TSU,14,23,1
James,ZHO,14,23,1
Beth,ALO,14,23,75
Beth,NOR,14,23,15
Beth,TSU,14,23,10
